ОАО "Теле2-Санкт-Петербург";Теле2;
ПАО "Мобильные ТелеСистемы";МТС;
ПАО "МегаФон";Мегафон;
ООО "Т2 Мобайл";Теле2;
ООО "СИМ ТЕЛЕКОМ"; SimSim;
ООО "ЕКАТЕРИНБУРГ-2000"; МОТИВ;
ПАО "Вымпел-Коммуникации"; Билайн;
ОАО "МТТ"; МТТ;
ООО "Сбербанк-Телеком";СберМобайл;
ООО "Газпром телеком"; Газпром телеком;
ООО "Антарес"; Антарес;
ООО "Интеграл"; Интеграл;
ООО "Арктур"; Арктур;
ПАО "Ростелеком"; Ростелеком;
АО "АПЕКС"; AПЕКС;
ООО "Лайкамобайл"; Lycamobile;
ЗАО "АКОС"; АКОС;
ООО "ТМТ"; Таттелеком;
ОАО "МГС"; МГС;
ЗАО "СИБИНТЕРТЕЛЕКОМ"; МТС;
ООО "НЦИ"; НЦИ;
ООО "ТрансМобилКом"; ТрансМобилКом;
ООО "Спринт"; Спринт;
ООО "Интернод"; Интернод;
ООО "Скай Нетворкс"; Скай Нетворкс;
ООО "МиАТел"; МиАТел;
ООО "МСН Телеком"; МСН Телеком;
ООО "ОБИТ"; ОБИТ;
ООО "СВЯЗЬРЕСУРС-МОБАЙЛ"; "Полифон";
ООО "МАТРИКС телеком"; МАТРИКС мобайл;
АО "ГЛОНАСС"; ГЛОНАСС;
АО "ГлобалТел"; ГлобалТел;
ЗАО "Джи Ти Эн Ти"; Джи Ти Эн Ти;
ООО "Иридиум Коммьюникешенс"; Иридиум;
ФГУП "Морсвязьспутник"; Морсвязьспутник;
ООО "ТРН-телеком"; ТРН-телеком;
ООО "Юнисел"; Юнисел;
ОАО "Ростелеком";Ростелеком;
ООО "Белитон";Белитон;
ООО "КватроПлюс"; КватроПлюс;
ООО "Лардекс"; Лардекс;
ООО "МОСТЕЛЕКОМ"; МОСТЕЛЕКОМ;
ООО "БИТ-ЦЕНТР"; БИТ-ЦЕНТР;
ООО "ЭКО Нетворкс"; ЭКО Нетворкс;
ОАО "Сургутнефтегаз"; Сургутнефтегаз;
АО "Компания ТрансТелеКом"; ТТК;
ООО "ДЭНИ КОЛЛ"; ДЭНИ КОЛЛ;
ООО "Тривон Нетворкс"; Virgin Connect;
ООО "Квантек"; Квантек;
ООО "Старт"; Старт;
ООО "Метро-пэй"; Метро-пэй;
ООО "Глобал Телеком"; Глобал Телеком;
ООО "РЕТЕЙЛ ИННОВАЦИИ"; РЕТЕЙЛ ИННОВАЦИИ;
ООО "Нэт Бай Нэт Холдинг"; Wifire Mobile;
ООО "ВиКом"; ВиКом;
ООО "Сонет"; Скай Линк;
ООО "Центр 2М";Центр 2М;
ООО "Аврора Телеком";Аврора Телеком;
ООО "Скартел";Yota;
ООО "ПИН"; ПИН;
ООО "ДОМОДЕДОВО АЙТИ СЕРВИСИЗ"; ДОМОДЕДОВО АйТи;
ОАО "Деловая Сеть - Иркутск"; ДСИ;
ЗАО "Интерсвязь-2"; Интерсвязь-2;
ООО "Цифра Один"; Цифра Один;
ПАО "МГТС"; МГТС;
ЗАО "СанСим"; SunSIM;
АО "КантриКом";КантриКом;
ООО "СкайНэт"; Скайнэт;
ООО "ТВЕ-ТЕЛЕКОМ"; ТВЕ-ТЕЛЕКОМ;
ОАО "РТКомм.РУ"; РТКОММ;
ООО "Смолтелеком";Смолтелеком;
ОАО "Тывасвязьинформ";Тывасвязьинформ;
ООО "Оранж Бизнес Сервисез";Orange;
ООО "Элемтэ-Инвест";Элемтэ-Инвест;
ООО "ИНТЕРТЕЛЕКОМ";ИНТЕРТЕЛЕКОМ;
Акционерное общество "Севастополь Телеком";Севастополь Телеком;
Акционерное общество "Крымтелеком";Крымтелеком;
ООО "СевТелекомСвязь";СевТелекомСвязь;
ООО "КТК ТЕЛЕКОМ";Волна мобайл;
ООО "К-телеком";Курорт Телеком;
АО "Воентелеком";Воентелеком;
АО "ЭР-Телеком Холдинг";ЭР-Телеком;
ООО "Тинькофф Мобайл";Тинькофф Мобайл;
ЗАО "Вайнах Телеком";Вайнах Телеком;
ООО "БС ТЕЛЕКОМ";БС ТЕЛЕКОМ;
ОАО "АСВТ";АСВТ;